Term [T: 32]             T in Docs  IDF

sea                      32         0.0
e                        32         0.0
para                     32         0.0
eso                      32         0.0
su                       32         0.0
menos                    32         0.0
dónde                    32         0.0
estamos                  32         0.0
bien                     32         0.0
hemos                    32         0.0
parece                   32         0.0
atención                 32         0.0
esto                     32         0.0
ellas                    32         0.0
manera                   32         0.0
enorme                   32         0.0
saber                    32         0.0
cierto                   32         0.0
se                       32         0.0
hacia                    32         0.0
muerto                   32         0.0
cosas                    32         0.0
cuatro                   32         0.0
mucho                    32         0.0
un                       32         0.0
haber                    32         0.0
buen                     32         0.0
allí                     32         0.0
ser                      32         0.0
mala                     32         0.0
él                       32         0.0
así                      32         0.0
hombre                   32         0.0
todos                    32         0.0
no                       32         0.0
duda                     32         0.0
caso                     32         0.0
primera                  32         0.0
hubiera                  32         0.0
pudiera                  32         0.0
tenido                   32         0.0
palabras                 32         0.0
última                   32         0.0
segundo                  32         0.0
y                        32         0.0
otras                    32         0.0
parecía                  32         0.0
sabe                     32         0.0
será                     32         0.0
cosa                     32         0.0
primero                  32         0.0
pasado                   32         0.0
otros                    32         0.0
posible                  32         0.0
que                      32         0.0
contra                   32         0.0
mientras                 32         0.0
sus                      32         0.0
misma                    32         0.0
presencia                32         0.0
luz                      32         0.0
al                       32         0.0
poner                    32         0.0
nosotros                 32         0.0
estar                    32         0.0
unas                     32         0.0
hablar                   32         0.0
modo                     32         0.0
poco                     32         0.0
si                       32         0.0
tiene                    32         0.0
muy                      32         0.0
llegar                   32         0.0
decir                    32         0.0
les                      32         0.0
salir                    32         0.0
nunca                    32         0.0
seguro                   32         0.0
esa                      32         0.0
junto                    32         0.0
todas                    32         0.0
hecho                    32         0.0
hubieran                 32         0.0
tenía                    32         0.0
primer                   32         0.0
a                        32         0.0
algunos                  32         0.0
peor                     32         0.0
perdido                  32         0.0
fuera                    32         0.0
le                       32         0.0
podemos                  32         0.0
dar                      32         0.0
puede                    32         0.0
tipo                     32         0.0
o                        32         0.0
media                    32         0.0
eran                     32         0.0
mismo                    32         0.0
oír                      32         0.0
tomar                    32         0.0
igual                    32         0.0
buena                    32         0.0
mañana                   32         0.0
toda                     32         0.0
estaba                   32         0.0
esta                     32         0.0
alguna                   32         0.0
puerta                   32         0.0
punto                    32         0.0
aquel                    32         0.0
puesto                   32         0.0
como                     32         0.0
ojos                     32         0.0
día                      32         0.0
vez                      32         0.0
hacer                    32         0.0
una                      32         0.0
pocos                    32         0.0
aire                     32         0.0
son                      32         0.0
dio                      32         0.0
voz                      32         0.0
hacerlo                  32         0.0
tres                     32         0.0
aquello                  32         0.0
quiero                   32         0.0
creo                     32         0.0
nuevo                    32         0.0
cinco                    32         0.0
durante                  32         0.0
mayor                    32         0.0
cuando                   32         0.0
está                     32         0.0
especial                 32         0.0
por                      32         0.0
otro                     32         0.0
dentro                   32         0.0
pensar                   32         0.0
antes                    32         0.0
cuanto                   32         0.0
yo                       32         0.0
alto                     32         0.0
hace                     32         0.0
sido                     32         0.0
joven                    32         0.0
frente                   32         0.0
fueron                   32         0.0
nada                     32         0.0
donde                    32         0.0
cada                     32         0.0
cualquier                32         0.0
desde                    32         0.0
están                    32         0.0
pronto                   32         0.0
vida                     32         0.0
algo                     32         0.0
sin                      32         0.0
medio                    32         0.0
cuál                     32         0.0
aunque                   32         0.0
parte                    32         0.0
además                   32         0.0
años                     32         0.0
diez                     32         0.0
gran                     32         0.0
buenos                   32         0.0
demás                    32         0.0
fue                      32         0.0
dice                     32         0.0
tan                      32         0.0
mano                     32         0.0
mayoría                  32         0.0
creía                    32         0.0
este                     32         0.0
es                       32         0.0
estas                    32         0.0
persona                  32         0.0
podía                    32         0.0
quiere                   32         0.0
